var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = NegatedAtom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(2), var2 = Atom tire-at(a), var3 = Atom tire-at(b), var4 = Atom tire-at(c), var5 = Atom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(a) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(1), var2 = NegatedAtom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(1), var2 = NegatedAtom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(1), var2 = NegatedAtom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(1), var2 = NegatedAtom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = NegatedAtom tire-at(d), var6 = Atom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(1), var2 = NegatedAtom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = NegatedAtom tire-at(f), var8 = Atom vehicle-at(f) -> alive
var0 = Atom flat-tire(), var1 = Atom has-many-spares(1), var2 = NegatedAtom tire-at(a), var3 = NegatedAtom tire-at(b), var4 = NegatedAtom tire-at(c), var5 = Atom tire-at(d), var6 = NegatedAtom tire-at(e), var7 = Atom tire-at(f), var8 = Atom vehicle-at(f) -> alive
