(datetime.datetime(2024, 2, 20, 10, 46, 47, 148715), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 23, 8, 59, 3, 927309), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 8, 59, 47, 301186), ('tireworld-spiky-2', 'p3', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 8, 59, 56, 484577), ('tireworld-spiky-2', 'p4', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 9, 2, 44, 821578), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 10, 52, 14, 664136), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 11, 1, 7, 777531), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 11, 5, 4, 764257), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 11, 36, 49, 538973), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 23, 11, 47, 23, 956945), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-23'))
(datetime.datetime(2024, 2, 26, 14, 55, 10, 819391), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-26'))
(datetime.datetime(2024, 2, 26, 14, 55, 35, 129205), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-26'))
(datetime.datetime(2024, 2, 26, 17, 0, 34, 634619), ('tireworld-spiky-2', 'p2', 'max-lookup-delta-nearest', 'trie-star', 'test,v2024-02-26'))
(datetime.datetime(2024, 2, 27, 10, 26, 46, 546269), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 10, 30, 38, 613475), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 10, 33, 26, 323479), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 10, 47, 3, 430237), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 10, 47, 15, 950015), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 10, 50, 24, 604162), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 11, 29, 4, 572596), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 11, 30, 16, 880244), ('tireworld-spiky-2', 'p1', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
(datetime.datetime(2024, 2, 27, 11, 30, 32, 973501), ('tireworld-spiky-2', 'p1', 'delta-nearest', 'trie-star', 'test,v2024-02-27'))
